id,year,locationabbr,locationdesc,data_value,low_confidence_limit,high_confidence_limit,sample_size,stratification,stratificationtype,variable
770143.0,2004.0,AZ,Arizona,77.8,73.8,81.8,1399.0,Male,Gender,exercise
770144.0,2004.0,AZ,Arizona,73.8,70.7,76.9,2203.0,Female,Gender,exercise
770147.0,2004.0,AZ,Arizona,*,,,226.0,18-24,Age Group,exercise
770148.0,2004.0,AZ,Arizona,78.0,72.0,84.0,561.0,25-34,Age Group,exercise
770149.0,2004.0,AZ,Arizona,75.2,70.0,80.4,633.0,35-44,Age Group,exercise
770150.0,2004.0,AZ,Arizona,80.0,75.1,84.9,698.0,45-54,Age Group,exercise
770151.0,2004.0,AZ,Arizona,73.1,67.7,78.5,597.0,55-64,Age Group,exercise
770152.0,2004.0,AZ,Arizona,72.2,67.9,76.5,887.0,65+,Age Group,exercise
771858.0,2004.0,AR,Arkansas,73.5,71.9,75.1,2910.0,Overall,Overall,exercise
771860.0,2004.0,AR,Arkansas,75.3,72.9,77.7,1119.0,Male,Gender,exercise
771861.0,2004.0,AR,Arkansas,71.9,69.9,73.9,1791.0,Female,Gender,exercise
771864.0,2004.0,AR,Arkansas,81.2,75.8,86.6,192.0,18-24,Age Group,exercise
771865.0,2004.0,AR,Arkansas,79.4,75.7,83.1,427.0,25-34,Age Group,exercise
771866.0,2004.0,AR,Arkansas,75.8,72.1,79.5,504.0,35-44,Age Group,exercise
771867.0,2004.0,AR,Arkansas,70.7,67.2,74.2,572.0,45-54,Age Group,exercise
771868.0,2004.0,AR,Arkansas,69.9,66.4,73.4,558.0,55-64,Age Group,exercise
771869.0,2004.0,AR,Arkansas,65.6,62.4,68.8,657.0,65+,Age Group,exercise
774398.0,2004.0,CA,California,77.3,75.7,78.9,3544.0,Overall,Overall,exercise
774400.0,2004.0,CA,California,80.7,78.4,83.0,1498.0,Male,Gender,exercise
774401.0,2004.0,CA,California,73.9,71.8,76.0,2046.0,Female,Gender,exercise
774404.0,2004.0,CA,California,80.1,74.6,85.6,262.0,18-24,Age Group,exercise
774405.0,2004.0,CA,California,80.0,76.8,83.2,658.0,25-34,Age Group,exercise
774406.0,2004.0,CA,California,75.8,72.7,78.9,758.0,35-44,Age Group,exercise
774407.0,2004.0,CA,California,76.1,72.5,79.7,691.0,45-54,Age Group,exercise
774408.0,2004.0,CA,California,77.0,72.9,81.1,547.0,55-64,Age Group,exercise
774409.0,2004.0,CA,California,74.5,70.7,78.3,628.0,65+,Age Group,exercise
776178.0,2004.0,CO,Colorado,79.8,76.5,83.1,815.0,55-64,Age Group,exercise
776179.0,2004.0,CO,Colorado,70.9,67.4,74.4,770.0,65+,Age Group,exercise
776628.0,2004.0,CO,Colorado,81.3,79.9,82.7,4854.0,Overall,Overall,exercise
776630.0,2004.0,CO,Colorado,81.7,79.5,83.9,2015.0,Male,Gender,exercise
776631.0,2004.0,CO,Colorado,80.9,79.2,82.6,2839.0,Female,Gender,exercise
776634.0,2004.0,CO,Colorado,88.5,84.5,92.5,336.0,18-24,Age Group,exercise
776635.0,2004.0,CO,Colorado,81.6,78.1,85.1,806.0,25-34,Age Group,exercise
776636.0,2004.0,CO,Colorado,83.2,80.3,86.1,995.0,35-44,Age Group,exercise
776637.0,2004.0,CO,Colorado,82.0,78.9,85.1,1132.0,45-54,Age Group,exercise
778214.0,2004.0,CT,Connecticut,81.1,79.9,82.3,4869.0,Overall,Overall,exercise
778216.0,2004.0,CT,Connecticut,83.0,81.0,85.0,1939.0,Male,Gender,exercise
778217.0,2004.0,CT,Connecticut,79.4,77.9,80.9,2930.0,Female,Gender,exercise
778220.0,2004.0,CT,Connecticut,81.7,75.7,87.7,232.0,18-24,Age Group,exercise
778221.0,2004.0,CT,Connecticut,83.9,80.9,86.9,658.0,25-34,Age Group,exercise
778222.0,2004.0,CT,Connecticut,84.6,82.3,86.9,1073.0,35-44,Age Group,exercise
778223.0,2004.0,CT,Connecticut,83.9,81.5,86.3,1114.0,45-54,Age Group,exercise
778224.0,2004.0,CT,Connecticut,80.5,77.6,83.4,781.0,55-64,Age Group,exercise
778225.0,2004.0,CT,Connecticut,71.7,69.0,74.4,1011.0,65+,Age Group,exercise
780562.0,2004.0,DE,Delaware,78.2,76.5,79.9,3119.0,Overall,Overall,exercise
780564.0,2004.0,DE,Delaware,79.7,77.1,82.3,1222.0,Male,Gender,exercise
780565.0,2004.0,DE,Delaware,76.8,74.6,79.0,1897.0,Female,Gender,exercise
780568.0,2004.0,DE,Delaware,80.5,74.5,86.5,236.0,18-24,Age Group,exercise
780569.0,2004.0,DE,Delaware,81.3,77.2,85.4,462.0,25-34,Age Group,exercise
780570.0,2004.0,DE,Delaware,79.3,75.6,83.0,649.0,35-44,Age Group,exercise
780571.0,2004.0,DE,Delaware,80.2,76.8,83.6,654.0,45-54,Age Group,exercise
780572.0,2004.0,DE,Delaware,76.2,71.5,80.9,481.0,55-64,Age Group,exercise
780573.0,2004.0,DE,Delaware,71.4,67.6,75.2,637.0,65+,Age Group,exercise
782813.0,2004.0,DC,District of Columbia,77.7,75.7,79.7,2397.0,Overall,Overall,exercise
782815.0,2004.0,DC,District of Columbia,83.0,80.0,86.0,990.0,Male,Gender,exercise
782816.0,2004.0,DC,District of Columbia,73.2,70.6,75.8,1407.0,Female,Gender,exercise
782819.0,2004.0,DC,District of Columbia,85.5,79.5,91.5,177.0,18-24,Age Group,exercise
782820.0,2004.0,DC,District of Columbia,83.9,80.0,87.8,553.0,25-34,Age Group,exercise
782821.0,2004.0,DC,District of Columbia,76.4,71.9,80.9,455.0,35-44,Age Group,exercise
782822.0,2004.0,DC,District of Columbia,74.6,70.1,79.1,471.0,45-54,Age Group,exercise
782823.0,2004.0,DC,District of Columbia,81.1,76.6,85.6,393.0,55-64,Age Group,exercise
782824.0,2004.0,DC,District of Columbia,63.1,57.9,68.3,348.0,65+,Age Group,exercise
784383.0,2004.0,FL,Florida,76.4,75.0,77.8,5339.0,Overall,Overall,exercise
784385.0,2004.0,FL,Florida,79.4,77.2,81.6,2103.0,Male,Gender,exercise
784386.0,2004.0,FL,Florida,73.5,71.7,75.3,3236.0,Female,Gender,exercise
784389.0,2004.0,FL,Florida,80.0,74.8,85.2,305.0,18-24,Age Group,exercise
784390.0,2004.0,FL,Florida,80.0,76.4,83.6,714.0,25-34,Age Group,exercise
784391.0,2004.0,FL,Florida,77.5,73.9,81.1,909.0,35-44,Age Group,exercise
784392.0,2004.0,FL,Florida,74.9,71.3,78.5,953.0,45-54,Age Group,exercise
784393.0,2004.0,FL,Florida,75.8,72.5,79.1,966.0,55-64,Age Group,exercise
784394.0,2004.0,FL,Florida,72.5,70.0,75.0,1492.0,65+,Age Group,exercise
786271.0,2004.0,GA,Georgia,81.7,78.4,85.0,612.0,25-34,Age Group,exercise
786272.0,2004.0,GA,Georgia,77.3,73.9,80.7,735.0,35-44,Age Group,exercise
786273.0,2004.0,GA,Georgia,70.4,66.5,74.3,707.0,45-54,Age Group,exercise
786274.0,2004.0,GA,Georgia,65.3,61.0,69.6,558.0,55-64,Age Group,exercise
786275.0,2004.0,GA,Georgia,60.0,56.0,64.0,625.0,65+,Age Group,exercise
786648.0,2004.0,GA,Georgia,74.2,72.6,75.8,3540.0,Overall,Overall,exercise
786650.0,2004.0,GA,Georgia,78.4,76.0,80.8,1429.0,Male,Gender,exercise
786651.0,2004.0,GA,Georgia,70.3,68.2,72.4,2111.0,Female,Gender,exercise
786654.0,2004.0,GA,Georgia,84.6,79.9,89.3,303.0,18-24,Age Group,exercise
789570.0,2004.0,ID,Idaho,80.9,79.6,82.2,4149.0,Overall,Overall,exercise
789572.0,2004.0,ID,Idaho,82.5,80.6,84.4,1721.0,Male,Gender,exercise
789573.0,2004.0,ID,Idaho,79.3,77.6,81.0,2428.0,Female,Gender,exercise
789576.0,2004.0,ID,Idaho,87.9,83.9,91.9,360.0,18-24,Age Group,exercise
789577.0,2004.0,ID,Idaho,86.2,83.5,88.9,739.0,25-34,Age Group,exercise
789578.0,2004.0,ID,Idaho,82.5,79.7,85.3,770.0,35-44,Age Group,exercise
789579.0,2004.0,ID,Idaho,79.5,76.6,82.4,847.0,45-54,Age Group,exercise
789580.0,2004.0,ID,Idaho,77.7,74.7,80.7,664.0,55-64,Age Group,exercise
789581.0,2004.0,ID,Idaho,70.6,67.4,73.8,769.0,65+,Age Group,exercise
791219.0,2004.0,IL,Illinois,75.1,73.5,76.7,3054.0,Overall,Overall,exercise
791221.0,2004.0,IL,Illinois,76.8,74.2,79.4,1211.0,Male,Gender,exercise
791222.0,2004.0,IL,Illinois,73.6,71.6,75.6,1843.0,Female,Gender,exercise
791225.0,2004.0,IL,Illinois,79.0,73.7,84.3,245.0,18-24,Age Group,exercise
791226.0,2004.0,IL,Illinois,78.8,74.8,82.8,480.0,25-34,Age Group,exercise
791227.0,2004.0,IL,Illinois,77.3,73.8,80.8,642.0,35-44,Age Group,exercise
791228.0,2004.0,IL,Illinois,75.9,72.4,79.4,648.0,45-54,Age Group,exercise
791229.0,2004.0,IL,Illinois,73.9,69.7,78.1,460.0,55-64,Age Group,exercise
791230.0,2004.0,IL,Illinois,65.0,61.4,68.6,579.0,65+,Age Group,exercise
793707.0,2004.0,IN,Indiana,74.7,73.5,75.9,4788.0,Overall,Overall,exercise
793709.0,2004.0,IN,Indiana,78.0,76.2,79.8,1931.0,Male,Gender,exercise
793710.0,2004.0,IN,Indiana,71.6,70.0,73.2,2857.0,Female,Gender,exercise
793713.0,2004.0,IN,Indiana,82.2,78.3,86.1,373.0,18-24,Age Group,exercise
793714.0,2004.0,IN,Indiana,79.9,77.1,82.7,886.0,25-34,Age Group,exercise
793715.0,2004.0,IN,Indiana,76.8,74.2,79.4,940.0,35-44,Age Group,exercise
793716.0,2004.0,IN,Indiana,75.7,73.1,78.3,1011.0,45-54,Age Group,exercise
793717.0,2004.0,IN,Indiana,70.0,66.8,73.2,720.0,55-64,Age Group,exercise
793718.0,2004.0,IN,Indiana,62.8,59.9,65.7,858.0,65+,Age Group,exercise
795699.0,2004.0,IA,Iowa,78.7,77.4,80.0,3907.0,Overall,Overall,exercise
795701.0,2004.0,IA,Iowa,80.1,78.0,82.2,1526.0,Male,Gender,exercise
795702.0,2004.0,IA,Iowa,77.4,75.7,79.1,2381.0,Female,Gender,exercise
795705.0,2004.0,IA,Iowa,85.7,81.0,90.4,272.0,18-24,Age Group,exercise
795706.0,2004.0,IA,Iowa,82.7,79.4,86.0,593.0,25-34,Age Group,exercise
795707.0,2004.0,IA,Iowa,81.1,78.3,83.9,761.0,35-44,Age Group,exercise
795708.0,2004.0,IA,Iowa,80.8,78.1,83.5,824.0,45-54,Age Group,exercise
795709.0,2004.0,IA,Iowa,75.6,72.3,78.9,616.0,55-64,Age Group,exercise
795710.0,2004.0,IA,Iowa,68.1,65.2,71.0,841.0,65+,Age Group,exercise
797456.0,2004.0,KS,Kansas,76.8,75.8,77.8,6493.0,Overall,Overall,exercise
797458.0,2004.0,KS,Kansas,77.9,76.3,79.5,2615.0,Male,Gender,exercise
797459.0,2004.0,KS,Kansas,75.7,74.4,77.0,3878.0,Female,Gender,exercise
797462.0,2004.0,KS,Kansas,85.7,82.2,89.2,441.0,18-24,Age Group,exercise
797463.0,2004.0,KS,Kansas,80.6,78.1,83.1,999.0,25-34,Age Group,exercise
797464.0,2004.0,KS,Kansas,78.6,76.4,80.8,1265.0,35-44,Age Group,exercise
797465.0,2004.0,KS,Kansas,77.0,74.8,79.2,1437.0,45-54,Age Group,exercise
797466.0,2004.0,KS,Kansas,72.9,70.2,75.6,902.0,55-64,Age Group,exercise
797467.0,2004.0,KS,Kansas,66.1,63.9,68.3,1449.0,65+,Age Group,exercise
799440.0,2004.0,KY,Kentucky,70.2,68.5,71.9,4348.0,Overall,Overall,exercise
799442.0,2004.0,KY,Kentucky,71.9,69.2,74.6,1522.0,Male,Gender,exercise
799443.0,2004.0,KY,Kentucky,68.5,66.4,70.6,2826.0,Female,Gender,exercise
799446.0,2004.0,KY,Kentucky,79.9,74.1,85.7,262.0,18-24,Age Group,exercise
799447.0,2004.0,KY,Kentucky,72.9,68.5,77.3,621.0,25-34,Age Group,exercise
799448.0,2004.0,KY,Kentucky,73.6,69.9,77.3,821.0,35-44,Age Group,exercise
799449.0,2004.0,KY,Kentucky,66.5,62.7,70.3,902.0,45-54,Age Group,exercise
799450.0,2004.0,KY,Kentucky,65.6,61.9,69.3,739.0,55-64,Age Group,exercise
799451.0,2004.0,KY,Kentucky,63.8,60.6,67.0,1003.0,65+,Age Group,exercise
801922.0,2004.0,LA,Louisiana,72.7,70.1,75.3,1249.0,35-44,Age Group,exercise
801923.0,2004.0,LA,Louisiana,67.8,65.0,70.6,1286.0,45-54,Age Group,exercise
801924.0,2004.0,LA,Louisiana,66.1,63.1,69.1,930.0,55-64,Age Group,exercise
801925.0,2004.0,LA,Louisiana,59.1,56.3,61.9,1035.0,65+,Age Group,exercise
802190.0,2004.0,LA,Louisiana,70.2,69.0,71.4,6140.0,Overall,Overall,exercise
802192.0,2004.0,LA,Louisiana,73.6,71.7,75.5,2288.0,Male,Gender,exercise
802193.0,2004.0,LA,Louisiana,67.2,65.7,68.7,3852.0,Female,Gender,exercise
802196.0,2004.0,LA,Louisiana,79.2,75.8,82.6,570.0,18-24,Age Group,exercise
802197.0,2004.0,LA,Louisiana,75.3,72.4,78.2,1070.0,25-34,Age Group,exercise
803891.0,2004.0,ME,Maine,78.5,76.9,80.1,2741.0,Overall,Overall,exercise
804198.0,2004.0,ME,Maine,77.6,75.0,80.2,1089.0,Male,Gender,exercise
804199.0,2004.0,ME,Maine,79.2,77.2,81.2,1652.0,Female,Gender,exercise
804202.0,2004.0,ME,Maine,88.0,82.4,93.6,144.0,18-24,Age Group,exercise
804203.0,2004.0,ME,Maine,79.2,74.8,83.6,359.0,25-34,Age Group,exercise
804204.0,2004.0,ME,Maine,81.5,78.1,84.9,552.0,35-44,Age Group,exercise
804205.0,2004.0,ME,Maine,80.8,77.6,84.0,654.0,45-54,Age Group,exercise
804206.0,2004.0,ME,Maine,76.3,72.4,80.2,488.0,55-64,Age Group,exercise
804207.0,2004.0,ME,Maine,67.5,63.9,71.1,544.0,65+,Age Group,exercise
806565.0,2004.0,MD,Maryland,78.2,76.6,79.8,3405.0,Overall,Overall,exercise
806567.0,2004.0,MD,Maryland,80.5,78.1,82.9,1340.0,Male,Gender,exercise
806568.0,2004.0,MD,Maryland,76.0,74.0,78.0,2065.0,Female,Gender,exercise
806571.0,2004.0,MD,Maryland,80.3,73.9,86.7,179.0,18-24,Age Group,exercise
806572.0,2004.0,MD,Maryland,82.8,79.3,86.3,525.0,25-34,Age Group,exercise
806573.0,2004.0,MD,Maryland,82.6,79.5,85.7,758.0,35-44,Age Group,exercise
806574.0,2004.0,MD,Maryland,74.8,71.2,78.4,794.0,45-54,Age Group,exercise
806575.0,2004.0,MD,Maryland,77.8,74.3,81.3,563.0,55-64,Age Group,exercise
806576.0,2004.0,MD,Maryland,68.3,64.4,72.2,586.0,65+,Age Group,exercise
809141.0,2004.0,MA,Massachusetts,80.0,78.8,81.2,6278.0,Overall,Overall,exercise
809143.0,2004.0,MA,Massachusetts,82.5,80.8,84.2,2567.0,Male,Gender,exercise
809144.0,2004.0,MA,Massachusetts,77.8,76.2,79.4,3711.0,Female,Gender,exercise
809147.0,2004.0,MA,Massachusetts,82.8,78.3,87.3,357.0,18-24,Age Group,exercise
809148.0,2004.0,MA,Massachusetts,82.6,79.9,85.3,991.0,25-34,Age Group,exercise
809149.0,2004.0,MA,Massachusetts,81.9,79.5,84.3,1354.0,35-44,Age Group,exercise
809150.0,2004.0,MA,Massachusetts,81.1,78.7,83.5,1422.0,45-54,Age Group,exercise
809151.0,2004.0,MA,Massachusetts,80.1,77.4,82.8,1018.0,55-64,Age Group,exercise
809152.0,2004.0,MA,Massachusetts,72.1,69.3,74.9,1136.0,65+,Age Group,exercise
810216.0,2004.0,MI,Michigan,77.9,76.5,79.3,3809.0,Overall,Overall,exercise
810218.0,2004.0,MI,Michigan,80.1,77.9,82.3,1549.0,Male,Gender,exercise
810219.0,2004.0,MI,Michigan,75.7,73.9,77.5,2260.0,Female,Gender,exercise
810222.0,2004.0,MI,Michigan,80.7,75.8,85.6,241.0,18-24,Age Group,exercise
810223.0,2004.0,MI,Michigan,80.6,76.7,84.5,477.0,25-34,Age Group,exercise
810224.0,2004.0,MI,Michigan,79.8,76.9,82.7,766.0,35-44,Age Group,exercise
810225.0,2004.0,MI,Michigan,80.1,77.3,82.9,875.0,45-54,Age Group,exercise
810226.0,2004.0,MI,Michigan,76.9,73.7,80.1,634.0,55-64,Age Group,exercise
810227.0,2004.0,MI,Michigan,68.4,65.5,71.3,816.0,65+,Age Group,exercise
812363.0,2004.0,MN,Minnesota,84.1,82.9,85.3,3699.0,Overall,Overall,exercise
812365.0,2004.0,MN,Minnesota,83.8,82.0,85.6,1512.0,Male,Gender,exercise
812366.0,2004.0,MN,Minnesota,84.4,82.8,86.0,2187.0,Female,Gender,exercise
812369.0,2004.0,MN,Minnesota,86.8,82.5,91.1,210.0,18-24,Age Group,exercise
812370.0,2004.0,MN,Minnesota,87.6,84.8,90.4,541.0,25-34,Age Group,exercise
812371.0,2004.0,MN,Minnesota,86.2,83.7,88.7,798.0,35-44,Age Group,exercise
812372.0,2004.0,MN,Minnesota,85.0,82.5,87.5,835.0,45-54,Age Group,exercise
812373.0,2004.0,MN,Minnesota,80.6,77.5,83.7,581.0,55-64,Age Group,exercise
812374.0,2004.0,MN,Minnesota,76.9,74.0,79.8,734.0,65+,Age Group,exercise
815150.0,2004.0,MS,Mississippi,68.7,67.2,70.2,3469.0,Overall,Overall,exercise
815152.0,2004.0,MS,Mississippi,72.1,69.7,74.5,1243.0,Male,Gender,exercise
815153.0,2004.0,MS,Mississippi,65.6,63.7,67.5,2226.0,Female,Gender,exercise
815156.0,2004.0,MS,Mississippi,75.6,70.3,80.9,258.0,18-24,Age Group,exercise
815157.0,2004.0,MS,Mississippi,73.0,69.6,76.4,590.0,25-34,Age Group,exercise
815158.0,2004.0,MS,Mississippi,72.2,68.8,75.6,638.0,35-44,Age Group,exercise
815159.0,2004.0,MS,Mississippi,69.3,66.1,72.5,692.0,45-54,Age Group,exercise
815160.0,2004.0,MS,Mississippi,63.8,60.3,67.3,533.0,55-64,Age Group,exercise
815161.0,2004.0,MS,Mississippi,56.6,53.5,59.7,758.0,65+,Age Group,exercise
817070.0,2004.0,MO,Missouri,75.2,73.6,76.8,3554.0,Overall,Overall,exercise
817072.0,2004.0,MO,Missouri,77.0,74.6,79.4,1450.0,Male,Gender,exercise
817073.0,2004.0,MO,Missouri,73.5,71.4,75.6,2104.0,Female,Gender,exercise
817076.0,2004.0,MO,Missouri,80.4,74.9,85.9,259.0,18-24,Age Group,exercise
817077.0,2004.0,MO,Missouri,80.7,76.6,84.8,559.0,25-34,Age Group,exercise
817078.0,2004.0,MO,Missouri,78.6,75.2,82.0,645.0,35-44,Age Group,exercise
817079.0,2004.0,MO,Missouri,74.8,71.2,78.4,676.0,45-54,Age Group,exercise
817080.0,2004.0,MO,Missouri,69.6,65.5,73.7,579.0,55-64,Age Group,exercise
817081.0,2004.0,MO,Missouri,66.9,63.6,70.2,836.0,65+,Age Group,exercise
818914.0,2004.0,MT,Montana,81.1,79.7,82.5,3907.0,Overall,Overall,exercise
818916.0,2004.0,MT,Montana,82.3,80.3,84.3,1610.0,Male,Gender,exercise
818917.0,2004.0,MT,Montana,80.0,78.2,81.8,2297.0,Female,Gender,exercise
818920.0,2004.0,MT,Montana,86.0,80.7,91.3,237.0,18-24,Age Group,exercise
818921.0,2004.0,MT,Montana,89.0,86.2,91.8,530.0,25-34,Age Group,exercise
818922.0,2004.0,MT,Montana,83.3,80.5,86.1,772.0,35-44,Age Group,exercise
818923.0,2004.0,MT,Montana,81.1,78.3,83.9,906.0,45-54,Age Group,exercise
818924.0,2004.0,MT,Montana,79.1,76.0,82.2,709.0,55-64,Age Group,exercise
818925.0,2004.0,MT,Montana,70.6,67.4,73.8,753.0,65+,Age Group,exercise
821487.0,2004.0,NE,Nebraska,78.4,77.2,79.6,6787.0,Overall,Overall,exercise
821489.0,2004.0,NE,Nebraska,79.0,77.2,80.8,2631.0,Male,Gender,exercise
821490.0,2004.0,NE,Nebraska,77.9,76.4,79.4,4156.0,Female,Gender,exercise
821493.0,2004.0,NE,Nebraska,81.5,76.7,86.3,331.0,18-24,Age Group,exercise
821494.0,2004.0,NE,Nebraska,83.2,80.5,85.9,997.0,25-34,Age Group,exercise
821495.0,2004.0,NE,Nebraska,79.4,76.9,81.9,1265.0,35-44,Age Group,exercise
821496.0,2004.0,NE,Nebraska,77.1,74.7,79.5,1498.0,45-54,Age Group,exercise
821497.0,2004.0,NE,Nebraska,76.7,74.0,79.4,1065.0,55-64,Age Group,exercise
821498.0,2004.0,NE,Nebraska,73.1,70.8,75.4,1631.0,65+,Age Group,exercise
823486.0,2004.0,NV,Nevada,75.8,73.5,78.1,2258.0,Overall,Overall,exercise
823488.0,2004.0,NV,Nevada,77.2,74.0,80.4,1112.0,Male,Gender,exercise
823489.0,2004.0,NV,Nevada,74.3,70.9,77.7,1146.0,Female,Gender,exercise
823492.0,2004.0,NV,Nevada,79.6,71.9,87.3,170.0,18-24,Age Group,exercise
823493.0,2004.0,NV,Nevada,77.1,71.2,83.0,321.0,25-34,Age Group,exercise
823494.0,2004.0,NV,Nevada,78.4,73.4,83.4,432.0,35-44,Age Group,exercise
823495.0,2004.0,NV,Nevada,75.4,70.0,80.8,471.0,45-54,Age Group,exercise
823496.0,2004.0,NV,Nevada,74.1,68.9,79.3,423.0,55-64,Age Group,exercise
823497.0,2004.0,NV,Nevada,69.2,63.9,74.5,441.0,65+,Age Group,exercise
825742.0,2004.0,NH,New Hampshire,79.9,78.3,81.5,2327.0,Female,Gender,exercise
825745.0,2004.0,NH,New Hampshire,89.6,85.5,93.7,214.0,18-24,Age Group,exercise
825746.0,2004.0,NH,New Hampshire,87.0,84.1,89.9,547.0,25-34,Age Group,exercise
825747.0,2004.0,NH,New Hampshire,84.1,81.7,86.5,889.0,35-44,Age Group,exercise
825748.0,2004.0,NH,New Hampshire,82.2,79.8,84.6,1023.0,45-54,Age Group,exercise
825749.0,2004.0,NH,New Hampshire,77.7,74.7,80.7,670.0,55-64,Age Group,exercise
825750.0,2004.0,NH,New Hampshire,68.3,65.1,71.5,691.0,65+,Age Group,exercise
826110.0,2004.0,NH,New Hampshire,81.5,80.3,82.7,4034.0,Overall,Overall,exercise
826112.0,2004.0,NH,New Hampshire,83.2,81.4,85.0,1707.0,Male,Gender,exercise
827426.0,2004.0,NJ,New Jersey,74.3,73.3,75.3,8993.0,Overall,Overall,exercise
827428.0,2004.0,NJ,New Jersey,77.7,76.2,79.2,3744.0,Male,Gender,exercise
827429.0,2004.0,NJ,New Jersey,71.2,69.9,72.5,5249.0,Female,Gender,exercise
827432.0,2004.0,NJ,New Jersey,79.9,75.9,83.9,412.0,18-24,Age Group,exercise
827433.0,2004.0,NJ,New Jersey,76.0,73.4,78.6,1188.0,25-34,Age Group,exercise
827434.0,2004.0,NJ,New Jersey,75.9,73.9,77.9,1918.0,35-44,Age Group,exercise
827435.0,2004.0,NJ,New Jersey,74.4,72.3,76.5,2064.0,45-54,Age Group,exercise
827436.0,2004.0,NJ,New Jersey,74.0,71.6,76.4,1529.0,55-64,Age Group,exercise
827437.0,2004.0,NJ,New Jersey,67.4,65.4,69.4,1882.0,65+,Age Group,exercise
829950.0,2004.0,NM,New Mexico,78.8,77.5,80.1,4953.0,Overall,Overall,exercise
829952.0,2004.0,NM,New Mexico,81.3,79.4,83.2,2026.0,Male,Gender,exercise
829953.0,2004.0,NM,New Mexico,76.5,74.9,78.1,2927.0,Female,Gender,exercise
829956.0,2004.0,NM,New Mexico,82.1,77.7,86.5,348.0,18-24,Age Group,exercise
829957.0,2004.0,NM,New Mexico,80.2,77.0,83.4,669.0,25-34,Age Group,exercise
829958.0,2004.0,NM,New Mexico,80.2,77.4,83.0,903.0,35-44,Age Group,exercise
829959.0,2004.0,NM,New Mexico,80.0,77.4,82.6,1060.0,45-54,Age Group,exercise
829960.0,2004.0,NM,New Mexico,79.1,76.3,81.9,870.0,55-64,Age Group,exercise
829961.0,2004.0,NM,New Mexico,71.6,69.0,74.2,1103.0,65+,Age Group,exercise
831303.0,2004.0,NY,New York,73.5,72.1,74.9,4434.0,Overall,Overall,exercise
831305.0,2004.0,NY,New York,76.1,73.9,78.3,1729.0,Male,Gender,exercise
831306.0,2004.0,NY,New York,71.1,69.2,73.0,2705.0,Female,Gender,exercise
831309.0,2004.0,NY,New York,80.9,75.7,86.1,277.0,18-24,Age Group,exercise
831310.0,2004.0,NY,New York,76.9,73.5,80.3,683.0,25-34,Age Group,exercise
831311.0,2004.0,NY,New York,75.3,72.4,78.2,954.0,35-44,Age Group,exercise
831312.0,2004.0,NY,New York,74.9,71.7,78.1,986.0,45-54,Age Group,exercise
831313.0,2004.0,NY,New York,68.5,64.6,72.4,678.0,55-64,Age Group,exercise
831314.0,2004.0,NY,New York,64.4,61.2,67.6,856.0,65+,Age Group,exercise
833952.0,2004.0,NC,North Carolina,75.3,74.4,76.2,11130.0,Overall,Overall,exercise
833954.0,2004.0,NC,North Carolina,77.8,76.4,79.2,4275.0,Male,Gender,exercise
833955.0,2004.0,NC,North Carolina,72.9,71.7,74.1,6855.0,Female,Gender,exercise
833958.0,2004.0,NC,North Carolina,78.5,74.9,82.1,665.0,18-24,Age Group,exercise
833959.0,2004.0,NC,North Carolina,78.6,76.5,80.7,1889.0,25-34,Age Group,exercise
